ID,Artist,Song
3180,Daniel Bedingfield,Gotta get through this
689,Daniel Lindstr�m,Coming true
2106,Daniel Merriweather,Red
3256,Danny Saucedo,In the club
692,Darin,Money for nothing
712,Darin,Why does it rain
4527,Darin,Money for nothing
4528,Darin,Why does it rain
1658,Darkness,I believe in a thing called love
3376,Darlene Love,Winter wonderland
2176,Daryl Braithwaite,One summer
5731,Daryl Braithwaite,One summer
1195,Dave Edmunds,I hear you knockin'
40,David Bowie,China girl
1144,David Bowie,Let's dance
1602,David Bowie,Space oddity
3623,David Bowie,Suffragette city
2164,David Cook,Time of my life
5824,David Crosby ft Phil Collins,Hero
1177,David Lee Roth,Just a gigolo
4531,David Ruffin,Walk away from love
4532,David Ruffin,My whole world ended
1039,David Shutrick,Bl� container
161,Db Boulevard,Point of view
1235,De'lacey,Hideaway
3377,Dean Martin,"Let it snow, let it snow, let it snow"
333,Debbie Smith-Tebay,Follow your road
4176,Def Leppard,Have you ever needed someone so bad
4234,Def Leppard,Love bites
4286,Def Leppard,Rock of ages
2123,Demi Lovato,La la land
5482,Demi Lovato,Neon lights
5528,Demi Lovato,Heart attack
5483,Demi Lovato ft Cher Lloyd,Really dont care
1419,Deniece Williams,Let's hear it from the boy
835,Depeche Mode,I just can't get enough
4206,Depeche Mode,A question of lust
4241,Depeche Mode,Never let me down again
4542,Depeche Mode,Policy of truth
4543,Depeche Mode,Dream on
4546,Depeche Mode,Master and servant
4548,Depeche Mode,Dreaming of me
4551,Depeche Mode,Little 15
4552,Depeche Mode,Behind the wheel
4553,Depeche Mode,Blasphemous
4555,Depeche Mode,New life
4558,Desmond Dekker & The Aces,You can get it if you really want
2528,Destiny's Child,Bootylicious
2529,Destiny's Child,Cater 2 U
2541,Destiny's Child,Girl
2546,Destiny's Child,Happy face
2555,Destiny's Child,Independent woman
2556,Destiny's Child,Jumpin' jumpin'
2560,Destiny's Child,Lose my breath
2565,Destiny's Child,Nasty girl
2578,Destiny's Child,Say my name
2580,Destiny's Child,Sexy daddy
2585,Destiny's Child,Stand up for love
50,Diana King,Shy guy
342,Diana Ross,When you tell me that you love me
3194,Diana Ross,I'm coming out
1800,Diana Ross & Marvin Gaye,You are everything
2231,Diana Ross & The Supremes,You can't hurry love
93,Dido,Thank you
1043,Dilba,I'm sorry
752,Dima Bilan,Believe
767,Dina,Hvis
4565,Dire Straits,On every street
5489,Disney,Supercalifragilist
3560,Docent D�d,Solglas�gon
4568,Dolly Parton,Joshua
4571,Dolly Parton,Hello God
3245,Donna Summer,This time I know it's for real
4591,Donna Summer,State of independence
4593,Donna Summer,Try me I know we can make it
4595,Donna Summer,Any way at all
4596,Donna Summer,Love's unkind
4597,Donna Summer & Brooklyn Dreams,Heaven knows
2261,Doobie Brothers,Black water
5688,Dr�ngarna,Om du vill bli min fru
5669,Dr�mhus,Fantasi
4218,Eagle Eye Cherry,Falling in love again
3102,Eagles,Peaceful easy feeling
3132,Eagles,Take it easy
3135,Eagles,Tequila sunrise
1789,Eddie Cochran,Summertime blues
2182,Eddie Cochran,Three steps to heaven
2183,Eddie Cochran,C'mon everybody
690,Elin Lanto,I won't cry
726,Ellinor,Kokobom
612,Elton John,Truly
2377,Elton John,Goodbye yellow brick road
1536,Elvis Presley,Always on my mind
1540,Elvis Presley,Don't
906,Emilia,You're my world
3242,Eminem,The way I am
5115,Eminem,When I'm Gone
663,Emma,V�nner
3167,Enrique Iglesias & Lil' Wayne,Can you hear me
5121,Enya (fellowship Of The Ring Soundtrack),May It Be
1605,Erasure,Breath of life
4110,Erasure,Chorus
2479,Erik Linder,Hur kan jag tro p� k�rleken
4629,Eurythmics,When tomorrow comes
1322,Eva Cassidy,Wayfaring stranger
5127,F R David,Words
157,Faith Hill,Cry
2378,Faith Hill,Breathe
2379,Faith Hill,There you'll be
967,Fame,Vindarna v�nder oss
2124,Finsk musik,Myrskyn j�lkeen
2125,Finsk musik,Kaduilla tuulee
2126,Finsk musik,Matkalla pohjoiseen
2127,Finsk musik,Kuin joutsenlaulu
2128,Finsk musik,Viidestoista y�
2129,Finsk musik,Vaskikellot
2130,Finsk musik,Titanic
2131,Finsk musik,St pauli ja reeperbahn
2132,Finsk musik,Linnut
2133,Finsk musik,Illan varjoon himme��n
2136,Finsk musik,Moottoripy�r� on moottoripy�r�
2138,Finsk musik,Kaikki tyt�t -karakum-
2139,Finsk musik,Kaikki muuttuu -you can have her-
2140,Finsk musik,"Aurinko, kuu ja t�hdet"
2141,Finsk musik,El�m�n valttikortit
2142,Finsk musik,Juodaan viinaa
2143,Finsk musik,Kaiken takana on nainen
2144,Finsk musik,Lulu
2145,Finsk musik,Rafaelin enkeli
2146,Finsk musik,J��tel�kes�
2147,Finsk musik,Syksyn s�vel
2148,Finsk musik,Krokotiilirock -crocodile rock-
2149,Finsk musik,Nummela
2150,Finsk musik,Tahdon rakastella sinua
2152,Finsk musik,Kev�t
2153,Finsk musik,Autiotalo
2154,Finsk musik,Bensaa suonissa
2155,Finsk musik,M�rk�� rakkautta
2157,Finsk musik,Joutsenlaulu
2158,Finsk musik,Keskiy�n aikaan -I'll meet you at midnight-
